Time [s],Voltage [V]
4.00E-03,-1.0599999
8.00E-03,-1.04
1.20E-02,-1.0599999
1.60E-02,-1.0799999
2.00E-02,-1.0599999
2.40E-02,-1.0599999
2.80E-02,-1.0599999
3.20E-02,-1.0599999
3.60E-02,-1.0599999
4.00E-02,-1.0799999
4.40E-02,-1.04
4.80E-02,-1.0599999
5.20E-02,-1.0599999
5.60E-02,-1.0599999
6.00E-02,-1.0599999
6.40E-02,-1.0599999
6.80E-02,-1.0799999
7.20E-02,-1.0599999
7.60E-02,-1.0599999
8.00E-02,-1.04
8.40E-02,-1.0799999
8.80E-02,-1.0599999
9.20E-02,-1.0599999
9.60E-02,-1.0599999
1.00E-01,-1.0599999
1.04E-01,-1.0799999
1.08E-01,-1.0599999
1.12E-01,-1.0599999
1.16E-01,-1.0599999
1.20E-01,-1.0599999
1.24E-01,-1.0599999
1.28E-01,-1.0599999
1.32E-01,-1.0599999
1.36E-01,-1.0799999
1.40E-01,-1.0599999
1.44E-01,-1.0799999
1.48E-01,-1.0799999
1.52E-01,-1.0599999
1.56E-01,-1.0799999
1.60E-01,-1.0599999
1.64E-01,-1.0599999
1.68E-01,-1.0799999
1.72E-01,-1.0599999
1.76E-01,-1.0799999
1.80E-01,-1.0799999
1.84E-01,-1.0599999
1.88E-01,-1.0799999
1.92E-01,-1.0799999
1.96E-01,-1.0799999
2.00E-01,-1.0599999
2.04E-01,-1.0799999
2.08E-01,-1.0599999
2.12E-01,-1.0599999
2.16E-01,-1.0799999
2.20E-01,-1.0599999
2.24E-01,-1.0799999
2.28E-01,-1.0799999
2.32E-01,-1.0599999
2.36E-01,-1.0799999
2.40E-01,-1.0599999
2.44E-01,-1.0799999
2.48E-01,-1.0599999
2.52E-01,-1.0799999
2.56E-01,-1.0599999
2.60E-01,-1.0799999
2.64E-01,-1.0599999
2.68E-01,-1.04
2.72E-01,-1.0599999
2.76E-01,-1.0599999
2.80E-01,-1.0599999
2.84E-01,-1.0799999
2.88E-01,-1.0599999
2.92E-01,-1.04
2.96E-01,-1.0599999
3.00E-01,-1.0799999
3.04E-01,-1.0799999
3.08E-01,-1.0599999
3.12E-01,-1.04
3.16E-01,-1.04
3.20E-01,-1.02
3.24E-01,-1.04
3.28E-01,-1.04
3.32E-01,-1.02
3.36E-01,-1.02
3.40E-01,-1.02
3.44E-01,-1
3.48E-01,-1
3.52E-01,-9.80E-01
3.56E-01,-1
3.60E-01,-9.80E-01
3.64E-01,-9.80E-01
3.68E-01,-9.60E-01
3.72E-01,-9.60E-01
3.76E-01,-9.60E-01
3.80E-01,-9.20E-01
3.84E-01,-9.20E-01
3.88E-01,-9.00E-01
3.92E-01,-9.20E-01
3.96E-01,-8.80E-01
4.00E-01,-8.80E-01
4.04E-01,-8.60E-01
4.08E-01,-8.60E-01
4.12E-01,-8.20E-01
4.16E-01,-8.20E-01
4.20E-01,-8.20E-01
4.24E-01,-8.00E-01
4.28E-01,-7.80E-01
4.32E-01,-7.60E-01
4.36E-01,-7.60E-01
4.40E-01,-7.60E-01
4.44E-01,-7.40E-01
4.48E-01,-7.20E-01
4.52E-01,-7.00E-01
4.56E-01,-6.80E-01
4.60E-01,-6.60E-01
4.64E-01,-6.40E-01
4.68E-01,-6.40E-01
4.72E-01,-6.00E-01
4.76E-01,-6.00E-01
4.80E-01,-5.80E-01
4.84E-01,-5.60E-01
4.88E-01,-5.40E-01
4.92E-01,-5.40E-01
4.96E-01,-5.00E-01
5.00E-01,-4.80E-01
5.04E-01,-4.80E-01
5.08E-01,-4.40E-01
5.12E-01,-4.20E-01
5.16E-01,-4.20E-01
5.20E-01,-4.00E-01
5.24E-01,-3.60E-01
5.28E-01,-3.60E-01
