Time [s],Voltage [V]
4.00E-03,-2.5599999
8.00E-03,-2.5599999
1.20E-02,-2.5599999
1.60E-02,-2.5599999
2.00E-02,-2.5599999
2.40E-02,-2.5599999
2.80E-02,-2.5599999
3.20E-02,-2.5599999
3.60E-02,-2.5599999
4.00E-02,-2.5599999
4.40E-02,-2.5599999
4.80E-02,-2.5599999
5.20E-02,-2.5599999
5.60E-02,-2.5599999
6.00E-02,-2.5599999
6.40E-02,-2.5599999
6.80E-02,-2.5599999
7.20E-02,-2.5599999
7.60E-02,-2.5599999
8.00E-02,-2.5599999
8.40E-02,-2.5599999
8.80E-02,-2.5599999
9.20E-02,-2.5599999
9.60E-02,-2.5599999
1.00E-01,-2.5599999
1.04E-01,-2.5599999
1.08E-01,-2.5599999
1.12E-01,-2.5599999
1.16E-01,-2.5599999
1.20E-01,-2.5599999
1.24E-01,-2.5599999
1.28E-01,-2.5599999
1.32E-01,-2.5599999
1.36E-01,-2.5599999
1.40E-01,-2.5599999
1.44E-01,-2.5599999
1.48E-01,-2.5599999
1.52E-01,-2.5599999
1.56E-01,-2.5599999
1.60E-01,-2.5599999
1.64E-01,-2.5599999
1.68E-01,-2.5599999
1.72E-01,-2.5599999
1.76E-01,-2.5599999
1.80E-01,-2.5599999
1.84E-01,-2.5599999
1.88E-01,-2.5599999
1.92E-01,-2.5599999
1.96E-01,-2.5599999
2.00E-01,-2.5599999
2.04E-01,-2.5599999
2.08E-01,-2.5599999
2.12E-01,-2.5599999
2.16E-01,-2.5599999
2.20E-01,-2.5599999
2.24E-01,-2.5599999
2.28E-01,-2.5599999
2.32E-01,-2.5599999
2.36E-01,-2.5599999
2.40E-01,-2.5599999
2.44E-01,-2.5599999
2.48E-01,-2.5599999
2.52E-01,-2.5599999
2.56E-01,-2.5599999
2.60E-01,-2.5599999
2.64E-01,-2.5599999
2.68E-01,-2.5599999
2.72E-01,-2.5599999
2.76E-01,-2.5599999
2.80E-01,-2.5599999
2.84E-01,-2.5599999
2.88E-01,-2.5599999
2.92E-01,-2.5599999
2.96E-01,-2.5599999
3.00E-01,-2.5599999
3.04E-01,-2.5599999
3.08E-01,-2.5599999
3.12E-01,-2.5599999
