Angle	11kV	13kV	15kV	17kV	19kV	21kV	23kV	25kV	27kV	29kV	31kV	33kV	35kV
17,0	8,0	13,0	31,0	46,0	52,0	67,0	86,0	117,0	137,0	154,0	192,0	225,0	240,0
17,1	9,0	18,0	31,0	45,0	47,0	70,0	88,0	111,0	122,0	162,0	180,0	219,0	271,0
17,2	8,0	18,0	31,0	41,0	53,0	74,0	96,0	107,0	147,0	168,0	196,0	239,0	265,0
17,3	6,0	19,0	23,0	45,0	46,0	78,0	93,0	101,0	145,0	155,0	205,0	232,0	271,0
17,4	5,0	19,0	35,0	49,0	66,0	79,0	107,0	115,0	128,0	182,0	196,0	239,0	259,0
17,5	11,0	21,0	30,0	42,0	58,0	83,0	104,0	120,0	155,0	189,0	201,0	263,0	303,0
17,6	6,0	19,0	34,0	42,0	69,0	89,0	109,0	122,0	134,0	174,0	233,0	252,0	283,0
17,7	10,0	19,0	25,0	43,0	60,0	88,0	111,0	136,0	158,0	204,0	242,0	266,0	299,0
17,8	14,0	23,0	40,0	52,0	88,0	107,0	130,0	167,0	199,0	220,0	270,0	301,0	347,0
17,9	19,0	50,0	101,0	133,0	213,0	267,0	326,0	404,0	455,0	527,0	588,0	680,0	757,0
18,0	37,0	118,0	223,0	332,0	463,0	571,0	764,0	926,0	1023,0	1274,0	1379,0	1516,0	1701,0
18,1	26,0	72,0	166,0	241,0	350,0	479,0	573,0	698,0	808,0	1045,0	1143,0	1303,0	1470,0
18,2	11,0	25,0	46,0	59,0	97,0	130,0	154,0	192,0	212,0	274,0	310,0	366,0	413,0
18,3	8,0	22,0	36,0	52,0	73,0	106,0	129,0	171,0	193,0	238,0	243,0	311,0	352,0
18,4	9,0	21,0	37,0	46,0	64,0	110,0	118,0	139,0	174,0	201,0	240,0	281,0	330,0
18,5	8,0	18,0	30,0	47,0	59,0	85,0	115,0	133,0	176,0	184,0	219,0	276,0	305,0
18,6	11,0	22,0	34,0	53,0	74,0	88,0	107,0	142,0	175,0	203,0	213,0	268,0	279,0
18,7	13,0	19,0	30,0	54,0	65,0	84,0	119,0	146,0	161,0	196,0	219,0	268,0	276,0
18,8	5,0	20,0	42,0	40,0	63,0	89,0	111,0	126,0	173,0	193,0	215,0	264,0	312,0
18,9	11,0	24,0	37,0	48,0	76,0	89,0	107,0	136,0	159,0	189,0	231,0	263,0	291,0
19,0	13,0	21,0	24,0	60,0	73,0	94,0	105,0	121,0	149,0	172,0	230,0	228,0	285,0
19,1	9,0	20,0	35,0	48,0	67,0	84,0	116,0	143,0	147,0	197,0	227,0	269,0	303,0
19,2	11,0	18,0	34,0	50,0	62,0	99,0	123,0	133,0	172,0	197,0	230,0	258,0	304,0
19,3	12,0	16,0	34,0	47,0	73,0	92,0	126,0	130,0	163,0	198,0	219,0	254,0	317,0
19,4	11,0	19,0	36,0	47,0	65,0	91,0	107,0	151,0	165,0	167,0	229,0	254,0	280,0
19,5	14,0	23,0	30,0	48,0	72,0	83,0	118,0	157,0	174,0	197,0	222,0	259,0	297,0
19,6	10,0	25,0	35,0	44,0	64,0	91,0	114,0	149,0	163,0	198,0	227,0	278,0	322,0
19,7	17,0	21,0	32,0	59,0	79,0	97,0	122,0	155,0	183,0	211,0	284,0	319,0	348,0
19,8	11,0	22,0	38,0	49,0	78,0	110,0	126,0	159,0	211,0	245,0	261,0	314,0	340,0
19,9	8,0	27,0	41,0	73,0	96,0	122,0	168,0	166,0	224,0	265,0	310,0	363,0	427,0
20,0	11,0	35,0	55,0	89,0	117,0	156,0	177,0	253,0	277,0	351,0	416,0	464,0	508,0
20,1	26,0	62,0	119,0	191,0	250,0	344,0	433,0	516,0	611,0	673,0	776,0	871,0	956,0
20,2	118,0	382,0	732,0	1090,0	1447,0	1871,0	2284,0	2751,0	3165,0	3518,0	3970,0	4320,0	4735,0
20,3	174,0	578,0	1063,0	1580,0	2143,0	2772,0	3324,0	4036,0	4682,0	5456,0	6460,0	7132,0	7733,0
20,4	65,0	239,0	454,0	668,0	961,0	1227,0	1568,0	1887,0	2155,0	2583,0	2994,0	3354,0	3712,0
20,5	13,0	33,0	69,0	122,0	143,0	213,0	254,0	310,0	380,0	435,0	529,0	595,0	635,0
20,6	7,0	23,0	36,0	61,0	92,0	111,0	150,0	182,0	222,0	254,0	308,0	354,0	419,0
20,7	9,0	20,0	34,0	59,0	83,0	95,0	128,0	157,0	171,0	200,0	249,0	304,0	353,0
20,8	12,0	13,0	35,0	40,0	68,0	89,0	114,0	127,0	167,0	187,0	241,0	257,0	278,0
20,9	12,0	15,0	30,0	47,0	59,0	87,0	100,0	127,0	139,0	172,0	219,0	230,0	271,0
21,0	11,0	24,0	23,0	39,0	59,0	78,0	85,0	122,0	134,0	171,0	214,0	232,0	263,0
21,1	6,0	22,0	22,0	40,0	54,0	65,0	89,0	126,0	144,0	149,0	200,0	211,0	245,0
21,2	7,0	16,0	22,0	43,0	63,0	68,0	79,0	108,0	121,0	163,0	188,0	227,0	255,0
21,3	11,0	18,0	29,0	35,0	54,0	69,0	88,0	114,0	131,0	148,0	174,0	212,0	247,0
21,4	6,0	15,0	26,0	37,0	56,0	68,0	89,0	112,0	130,0	156,0	188,0	217,0	255,0
21,5	7,0	13,0	27,0	35,0	52,0	68,0	76,0	110,0	128,0	153,0	189,0	213,0	252,0
21,6	7,0	16,0	28,0	39,0	49,0	73,0	84,0	110,0	130,0	157,0	189,0	193,0	237,0
21,7	6,0	18,0	20,0	37,0	61,0	69,0	76,0	107,0	128,0	148,0	184,0	223,0	253,0
21,8	8,0	16,0	24,0	32,0	53,0	80,0	83,0	114,0	125,0	143,0	188,0	204,0	231,0
21,9	11,0	12,0	24,0	35,0	47,0	67,0	91,0	113,0	125,0	145,0	179,0	199,0	200,0
22,0	3,0	13,0	22,0	35,0	48,0	80,0	79,0	105,0	137,0	148,0	167,0	210,0	217,0
