Angle	Intensity
3,0	3578,0
3,1	3352,0
3,2	2880,0
3,3	2556,0
3,4	2195,0
3,5	1947,0
3,6	1660,0
3,7	1399,0
3,8	1182,0
3,9	1091,0
4,0	1013,0
4,1	959,0
4,2	972,0
4,3	958,0
4,4	929,0
4,5	862,0
4,6	867,0
4,7	877,0
4,8	801,0
4,9	798,0
5,0	786,0
5,1	748,0
5,2	723,0
5,3	699,0
5,4	669,0
5,5	668,0
5,6	668,0
5,7	632,0
5,8	620,0
5,9	620,0
6,0	577,0
6,1	576,0
6,2	559,0
6,3	561,0
6,4	552,0
6,5	557,0
6,6	547,0
6,7	512,0
6,8	499,0
6,9	476,0
7,0	498,0
7,1	457,0
7,2	451,0
7,3	450,0
7,4	422,0
7,5	425,0
7,6	407,0
7,7	400,0
7,8	378,0
7,9	373,0
8,0	382,0
8,1	352,0
8,2	348,0
8,3	324,0
8,4	329,0
8,5	318,0
8,6	312,0
8,7	297,0
8,8	280,0
8,9	301,0
9,0	277,0
9,1	297,0
9,2	255,0
9,3	255,0
9,4	260,0
9,5	258,0
9,6	246,0
9,7	244,0
9,8	236,0
9,9	244,0
10,0	233,0
10,1	238,0
10,2	241,0
10,3	226,0
10,4	228,0
10,5	230,0
10,6	227,0
10,7	229,0
10,8	237,0
10,9	223,0
11,0	231,0
11,1	233,0
11,2	226,0
11,3	223,0
11,4	229,0
11,5	230,0
11,6	230,0
11,7	237,0
11,8	236,0
11,9	231,0
12,0	236,0
12,1	228,0
12,2	211,0
12,3	227,0
12,4	225,0
12,5	224,0
12,6	220,0
12,7	217,0
12,8	212,0
12,9	220,0
13,0	217,0
13,1	216,0
13,2	209,0
13,3	219,0
13,4	219,0
13,5	211,0
13,6	207,0
13,7	213,0
13,8	202,0
13,9	200,0
14,0	206,0
14,1	213,0
14,2	225,0
14,3	216,0
14,4	226,0
14,5	225,0
14,6	222,0
14,7	209,0
14,8	220,0
14,9	205,0
15,0	226,0
15,1	217,0
15,2	216,0
15,3	212,0
15,4	218,0
15,5	221,0
15,6	228,0
15,7	257,0
15,8	245,0
15,9	263,0
16,0	261,0
16,1	263,0
16,2	220,0
16,3	239,0
16,4	229,0
16,5	246,0
16,6	239,0
16,7	224,0
16,8	232,0
16,9	227,0
17,0	218,0
17,1	245,0
17,2	235,0
17,3	243,0
17,4	250,0
17,5	230,0
17,6	248,0
17,7	268,0
17,8	269,0
17,9	268,0
18,0	304,0
18,1	407,0
18,2	1226,0
18,3	1383,0
18,4	295,0
18,5	276,0
18,6	264,0
18,7	256,0
18,8	251,0
18,9	271,0
19,0	266,0
19,1	262,0
19,2	256,0
19,3	255,0
19,4	268,0
19,5	276,0
19,6	266,0
19,7	276,0
19,8	300,0
19,9	314,0
20,0	340,0
20,1	383,0
20,2	428,0
20,3	607,0
20,4	3060,0
20,5	7095,0
20,6	2197,0
20,7	464,0
20,8	326,0
20,9	279,0
21,0	242,0
21,1	252,0
21,2	243,0
21,3	236,0
21,4	242,0
21,5	247,0
21,6	238,0
21,7	239,0
21,8	231,0
21,9	234,0
22,0	228,0
22,1	222,0
22,2	221,0
22,3	233,0
22,4	221,0
22,5	231,0
22,6	222,0
22,7	203,0
22,8	222,0
22,9	215,0
23,0	199,0
23,1	209,0
23,2	219,0
23,3	230,0
23,4	209,0
23,5	209,0
23,6	216,0
23,7	200,0
23,8	206,0
23,9	218,0
24,0	198,0
24,1	199,0
24,2	204,0
24,3	210,0
24,4	215,0
24,5	208,0
24,6	209,0
24,7	197,0
24,8	198,0
24,9	211,0
25,0	191,0
25,1	215,0
25,2	203,0
25,3	197,0
25,4	195,0
25,5	210,0
25,6	189,0
25,7	194,0
25,8	193,0
25,9	180,0
26,0	203,0
26,1	184,0
26,2	199,0
26,3	188,0
26,4	198,0
26,5	178,0
26,6	194,0
26,7	196,0
26,8	200,0
26,9	183,0
27,0	180,0
27,1	206,0
27,2	199,0
27,3	210,0
27,4	215,0
27,5	197,0
27,6	203,0
27,7	207,0
27,8	195,0
27,9	201,0
28,0	186,0
28,1	185,0
28,2	205,0
28,3	194,0
28,4	194,0
28,5	185,0
28,6	187,0
28,7	183,0
28,8	173,0
28,9	184,0
29,0	188,0
29,1	197,0
29,2	177,0
29,3	185,0
29,4	181,0
29,5	180,0
29,6	179,0
29,7	206,0
29,8	188,0
29,9	186,0
30,0	178,0
30,1	187,0
30,2	188,0
30,3	205,0
30,4	192,0
30,5	185,0
30,6	196,0
30,7	190,0
30,8	192,0
30,9	206,0
31,0	199,0
31,1	204,0
31,2	197,0
31,3	195,0
31,4	200,0
31,5	167,0
31,6	180,0
31,7	193,0
31,8	188,0
31,9	180,0
32,0	196,0
32,1	194,0
32,2	188,0
32,3	192,0
32,4	185,0
32,5	170,0
32,6	187,0
32,7	170,0
32,8	183,0
32,9	167,0
33,0	169,0
33,1	185,0
33,2	168,0
33,3	174,0
33,4	173,0
33,5	188,0
33,6	192,0
33,7	186,0
33,8	187,0
33,9	182,0
34,0	165,0
34,1	165,0
34,2	175,0
34,3	164,0
34,4	193,0
34,5	171,0
34,6	169,0
34,7	178,0
34,8	163,0
34,9	181,0
35,0	178,0
35,1	175,0
35,2	172,0
35,3	183,0
35,4	161,0
35,5	172,0
35,6	160,0
35,7	172,0
35,8	171,0
35,9	165,0
36,0	172,0
36,1	177,0
36,2	177,0
36,3	175,0
36,4	177,0
36,5	179,0
36,6	181,0
36,7	182,0
36,8	187,0
36,9	183,0
37,0	165,0
37,1	180,0
37,2	189,0
37,3	187,0
37,4	173,0
37,5	193,0
37,6	180,0
37,7	166,0
37,8	177,0
37,9	173,0
38,0	176,0
38,1	181,0
38,2	170,0
38,3	175,0
38,4	165,0
38,5	162,0
38,6	174,0
38,7	169,0
38,8	179,0
38,9	187,0
39,0	175,0
39,1	178,0
39,2	163,0
39,3	159,0
39,4	164,0
39,5	158,0
39,6	168,0
39,7	167,0
39,8	172,0
39,9	167,0
40,0	170,0
40,1	166,0
40,2	164,0
40,3	168,0
40,4	182,0
40,5	167,0
40,6	185,0
40,7	175,0
40,8	188,0
40,9	170,0
41,0	173,0
41,1	173,0
41,2	172,0
41,3	187,0
41,4	203,0
41,5	251,0
41,6	393,0
41,7	399,0
41,8	210,0
41,9	201,0
42,0	176,0
42,1	167,0
42,2	181,0
42,3	179,0
42,4	167,0
42,5	182,0
42,6	177,0
42,7	173,0
42,8	164,0
42,9	171,0
43,0	175,0
43,1	168,0
43,2	179,0
43,3	180,0
43,4	181,0
43,5	171,0
43,6	174,0
43,7	199,0
43,8	175,0
43,9	179,0
44,0	178,0
44,1	173,0
44,2	171,0
44,3	175,0
44,4	187,0
44,5	167,0
44,6	176,0
44,7	188,0
44,8	182,0
44,9	179,0
45,0	179,0
45,1	178,0
45,2	172,0
45,3	177,0
45,4	183,0
45,5	176,0
45,6	156,0
45,7	181,0
45,8	178,0
45,9	188,0
46,0	184,0
46,1	191,0
46,2	182,0
46,3	190,0
46,4	175,0
46,5	194,0
46,6	176,0
46,7	172,0
46,8	182,0
46,9	187,0
47,0	189,0
47,1	188,0
47,2	199,0
47,3	214,0
47,4	214,0
47,5	231,0
47,6	264,0
47,7	648,0
47,8	1324,0
47,9	1230,0
48,0	841,0
48,1	564,0
48,2	222,0
48,3	228,0
48,4	194,0
48,5	201,0
48,6	196,0
48,7	189,0
48,8	170,0
48,9	187,0
49,0	191,0
49,1	194,0
49,2	202,0
49,3	191,0
49,4	188,0
49,5	186,0
49,6	191,0
49,7	173,0
49,8	186,0
49,9	189,0
50,0	180,0
50,1	181,0
50,2	172,0
50,3	176,0
50,4	180,0
50,5	188,0
50,6	189,0
50,7	179,0
50,8	180,0
50,9	180,0
51,0	170,0
51,1	186,0
51,2	180,0
51,3	185,0
51,4	168,0
51,5	182,0
51,6	182,0
51,7	171,0
51,8	180,0
51,9	183,0
52,0	196,0
52,1	181,0
52,2	192,0
52,3	182,0
52,4	187,0
52,5	189,0
52,6	180,0
52,7	179,0
52,8	176,0
52,9	182,0
53,0	203,0
53,1	185,0
53,2	181,0
53,3	167,0
53,4	187,0
53,5	195,0
53,6	187,0
53,7	196,0
53,8	201,0
53,9	186,0
54,0	181,0
54,1	189,0
54,2	194,0
54,3	194,0
54,4	181,0
54,5	196,0
54,6	185,0
54,7	194,0
54,8	196,0
54,9	202,0
55,0	184,0
