Angle	Intensity
17,0	108,0
17,1	101,0
17,2	95,0
17,3	114,0
17,4	98,0
17,5	112,0
17,6	116,0
17,7	128,0
17,8	131,0
17,9	352,0
18,0	784,0
18,1	514,0
18,2	158,0
18,3	141,0
18,4	125,0
18,5	123,0
18,6	128,0
18,7	101,0
18,8	125,0
18,9	116,0
19,0	111,0
19,1	122,0
19,2	101,0
19,3	125,0
19,4	112,0
19,5	115,0
19,6	139,0
19,7	142,0
19,8	145,0
19,9	162,0
20,0	210,0
20,1	444,0
20,2	2402,0
20,3	3379,0
20,4	1456,0
20,5	242,0
20,6	160,0
20,7	136,0
20,8	133,0
20,9	109,0
21,0	110,0
21,1	115,0
21,2	104,0
21,3	102,0
21,4	96,0
21,5	104,0
21,6	107,0
21,7	95,0
21,8	104,0
21,9	91,0
22,0	85,0
