Angle	Intensity
17,0	268,0
17,1	262,0
17,2	269,0
17,3	262,0
17,4	280,0
17,5	296,0
17,6	285,0
17,7	307,0
17,8	357,0
17,9	810,0
18,0	1806,0
18,1	1325,0
18,2	397,0
18,3	340,0
18,4	336,0
18,5	324,0
18,6	308,0
18,7	306,0
18,8	301,0
18,9	283,0
19,0	300,0
19,1	299,0
19,2	277,0
19,3	313,0
19,4	315,0
19,5	266,0
19,6	333,0
19,7	344,0
19,8	384,0
19,9	431,0
20,0	518,0
20,1	1043,0
20,2	5192,0
20,3	7846,0
20,4	3346,0
20,5	599,0
20,6	377,0
20,7	344,0
20,8	322,0
20,9	249,0
21,0	267,0
21,1	279,0
21,2	267,0
21,3	240,0
21,4	229,0
21,5	229,0
21,6	256,0
21,7	230,0
21,8	237,0
21,9	240,0
22,0	236,0
